Time	Channel A	Channel B
(us)	(V)	(mV)

-2.00202498	0.00000000	6.34785000
-1.98202499	0.00000000	6.34785000
-1.96202499	0.00000000	6.34785000
-1.94202499	0.00000000	4.76088700
-1.92202499	0.00000000	4.76088700
-1.90202499	0.00000000	4.76088700
-1.88202499	0.00000000	4.76088700
-1.86202499	0.00000000	4.76088700
-1.84202499	0.00000000	4.76088700
-1.82202499	0.00000000	4.76088700
-1.80202499	0.00000000	4.76088700
-1.78202499	0.00000000	6.34785000
-1.76202499	0.00000000	6.34785000
-1.74202499	0.00000000	6.34785000
-1.72202499	0.00000000	6.34785000
-1.70202499	0.00000000	6.34785000
-1.68202499	0.00000000	6.34785000
-1.66202499	0.00000000	6.34785000
-1.64202499	0.00000000	6.34785000
-1.62202499	0.00000000	6.34785000
-1.60202499	0.00000000	7.93481200
-1.58202499	0.00000000	7.93481200
-1.56202499	0.00000000	7.93481200
-1.54202499	0.00000000	9.52177400
-1.52202499	0.00000000	9.52177400
-1.50202499	0.00000000	9.52177400
-1.48202499	0.00000000	7.93481200
-1.46202499	0.00000000	7.93481200
-1.44202499	0.00000000	6.34785000
-1.42202499	0.00000000	6.34785000
-1.40202499	0.00000000	6.34785000
-1.38202499	0.00000000	6.34785000
-1.36202499	0.00000000	4.76088700
-1.34202499	0.00000000	4.76088700
-1.32202499	0.00000000	4.76088700
-1.30202499	0.00000000	4.76088700
-1.28202499	0.00000000	4.76088700
-1.26202499	0.00000000	4.76088700
-1.24202499	0.00000000	4.76088700
-1.22202499	0.00000000	4.76088700
-1.20202499	0.00000000	4.76088700
-1.18202499	0.00000000	4.76088700
-1.16202499	0.00000000	4.76088700
-1.14202499	0.00000000	4.76088700
-1.12202499	0.00000000	4.76088700
-1.10202499	0.00000000	4.76088700
-1.08202499	0.00000000	6.34785000
-1.06202499	0.00000000	6.34785000
-1.04202499	0.00000000	6.34785000
-1.02202499	0.00000000	6.34785000
-1.00202499	0.00000000	4.76088700
-0.98202499	0.00000000	6.34785000
-0.96202499	0.00000000	6.34785000
-0.94202499	0.00000000	6.34785000
-0.92202499	0.00000000	6.34785000
-0.90202499	0.00000000	7.93481200
-0.88202499	0.00000000	6.34785000
-0.86202499	0.00000000	4.76088700
-0.84202499	0.00000000	4.76088700
-0.82202499	0.00000000	6.34785000
-0.80202499	0.00000000	6.34785000
-0.78202499	0.00000000	6.34785000
-0.76202499	0.00000000	6.34785000
-0.74202499	0.00000000	7.93481200
-0.72202499	0.00000000	6.34785000
-0.70202499	0.00000000	6.34785000
-0.68202499	0.00000000	6.34785000
-0.66202499	0.00000000	6.34785000
-0.64202499	0.00000000	6.34785000
-0.62202499	0.00000000	6.34785000
-0.60202499	0.00000000	6.34785000
-0.58202499	0.00000000	4.76088700
-0.56202499	0.00000000	4.76088700
-0.54202499	0.00000000	4.76088700
-0.52202499	0.00000000	6.34785000
-0.50202499	0.00000000	7.93481200
-0.48202499	0.00000000	6.34785000
-0.46202499	0.00000000	4.76088700
